lat,lon,Band1
-20.891666666676983,140.74166666636427,2362.6426
-20.891666666676983,140.74583333303093,2138.761
-20.891666666676983,140.7499999996976,2213.0593
-20.891666666676983,140.75416666636426,1155.368
-20.891666666676983,140.75833333303092,496.28882
-20.891666666676983,140.7624999996976,72.71964
-20.891666666676983,140.76666666636427,-122.610435
-20.891666666676983,140.77083333303094,-171.971
-20.891666666676983,140.77499999969763,-5.7222557
-20.891666666676983,140.7791666663643,174.48495
-20.891666666676983,140.78333333303095,300.52817
-20.891666666676983,140.78749999969762,307.02322
-20.891666666676983,140.79166666636428,292.54294
-20.891666666676983,140.79583333303097,162.30704
-20.891666666676983,140.79999999969763,-53.9576
-20.891666666676983,140.8041666663643,-239.77107
-20.891666666676983,140.808333333031,-229.72426
-20.895833333343653,140.53333333303075,-2971.6736
-20.895833333343653,140.53749999969742,-3416.551
-20.895833333343653,140.5416666663641,-2920.1975
-20.895833333343653,140.54583333303077,-2182.8499
-20.895833333343653,140.54999999969743,-1406.7047
-20.895833333343653,140.5541666663641,-814.14056
-20.895833333343653,140.55833333303076,-601.10626
-20.895833333343653,140.56249999969745,-993.55084
-20.895833333343653,140.5666666663641,-1726.4255
-20.895833333343653,140.57083333303078,-2502.9382
-20.895833333343653,140.57499999969747,-3026.7515
-20.895833333343653,140.57916666636413,-2898.704
-20.895833333343653,140.5833333330308,-2852.3826
-20.895833333343653,140.58749999969746,-2680.262
-20.895833333343653,140.59166666636412,-2428.4934
-20.895833333343653,140.5958333330308,-2123.0115
-20.895833333343653,140.59999999969747,-1712.2343
-20.895833333343653,140.60416666636414,-1333.6665
-20.895833333343653,140.60833333303083,-1010.76807
-20.895833333343653,140.6124999996975,-760.61383
-20.895833333343653,140.61666666636415,-596.24493
-20.895833333343653,140.62083333303082,-642.4217
-20.895833333343653,140.62499999969748,-742.7247
-20.895833333343653,140.62916666636417,-859.6981
-20.895833333343653,140.63333333303083,-970.8012
-20.895833333343653,140.6374999996975,-1077.1919
-20.895833333343653,140.6416666663642,-1207.2518
-20.895833333343653,140.64583333303085,-1363.9961
-20.895833333343653,140.6499999996975,-1511.1566
-20.895833333343653,140.65416666636418,-1584.9679
-20.895833333343653,140.65833333303084,-1498.635
-20.895833333343653,140.66249999969753,-1384.8544
-20.895833333343653,140.6666666663642,-1336.357
-20.895833333343653,140.67083333303086,-1415.1229
-20.895833333343653,140.67499999969755,-1358.8169
-20.895833333343653,140.6791666663642,-1439.9794
-20.895833333343653,140.68333333303087,-1624.6134
-20.895833333343653,140.68749999969754,-1866.6704
-20.895833333343653,140.6916666663642,-2076.1892
-20.895833333343653,140.6958333330309,-2139.5269
-20.895833333343653,140.69999999969755,-2123.013
-20.895833333343653,140.70416666636422,-2053.3035
-20.895833333343653,140.7083333330309,-1877.1088
-20.895833333343653,140.71249999969757,-1498.8217
-20.895833333343653,140.71666666636423,-531.9225
-20.895833333343653,140.7208333330309,570.6731
-20.895833333343653,140.72499999969756,1618.3678
-20.895833333343653,140.72916666636425,2404.8591
-20.895833333343653,140.7333333330309,2780.8672
-20.895833333343653,140.73749999969758,2566.2935
-20.895833333343653,140.74166666636427,2106.3586
-20.895833333343653,140.74583333303093,1550.0408
-20.895833333343653,140.7499999996976,1054.1729
-20.895833333343653,140.75416666636426,521.9077
-20.895833333343653,140.75833333303092,168.87299
-20.895833333343653,140.7624999996976,-26.832355
-20.895833333343653,140.76666666636427,-61.449894
-20.895833333343653,140.77083333303094,52.809044
-20.895833333343653,140.77499999969763,324.87216
-20.895833333343653,140.7791666663643,647.1616
-20.895833333343653,140.78333333303095,928.6488
-20.895833333343653,140.78749999969762,1084.1171
-20.895833333343653,140.79166666636428,1088.6184
-20.895833333343653,140.79583333303097,968.3926
-20.895833333343653,140.79999999969763,810.33386
-20.895833333343653,140.8041666663643,757.43054
-20.895833333343653,140.808333333031,1011.5038
-20.900000000010323,140.53333333303075,-2580.4294
-20.900000000010323,140.53749999969742,-2864.4268
-20.900000000010323,140.5416666663641,-2511.2659
-20.900000000010323,140.54583333303077,-1850.1565
-20.900000000010323,140.54999999969743,-1092.9077
-20.900000000010323,140.5541666663641,-470.56195
-20.900000000010323,140.55833333303076,-267.47748
-20.900000000010323,140.56249999969745,-923.94464
-20.900000000010323,140.5666666663641,-2024.8799
-20.900000000010323,140.57083333303078,-3228.371
-20.900000000010323,140.57499999969747,-4218.601
-20.900000000010323,140.57916666636413,-3914.3665
-20.900000000010323,140.5833333330308,-3506.921
-20.900000000010323,140.58749999969746,-3050.5781
-20.900000000010323,140.59166666636412,-2611.37
-20.900000000010323,140.5958333330308,-2176.701
-20.900000000010323,140.59999999969747,-1772.759
-20.900000000010323,140.60416666636414,-1411.4907
-20.900000000010323,140.60833333303083,-1112.3785
-20.900000000010323,140.6124999996975,-884.91956
-20.900000000010323,140.61666666636415,-750.61914
-20.900000000010323,140.62083333303082,-753.74866
-20.900000000010323,140.62499999969748,-820.11237
-20.900000000010323,140.62916666636417,-910.3361
-20.900000000010323,140.63333333303083,-1010.0934
-20.900000000010323,140.6374999996975,-1097.4342
-20.900000000010323,140.6416666663642,-1224.8025
-20.900000000010323,140.64583333303085,-1401.8047
-20.900000000010323,140.6499999996975,-1585.2041
-20.900000000010323,140.65416666636418,-1665.4492
-20.900000000010323,140.65833333303084,-1408.9211
-20.900000000010323,140.66249999969753,-1056.2694
-20.900000000010323,140.6666666663642,-746.16547
-20.900000000010323,140.67083333303086,-593.6444
-20.900000000010323,140.67499999969755,-762.94226
-20.900000000010323,140.6791666663642,-1075.6156
-20.900000000010323,140.68333333303087,-1440.8823
-20.900000000010323,140.68749999969754,-1791.0171
-20.900000000010323,140.6916666663642,-2065.8643
-20.900000000010323,140.6958333330309,-2167.24
-20.900000000010323,140.69999999969755,-2178.102
-20.900000000010323,140.70416666636422,-2116.536
-20.900000000010323,140.7083333330309,-1924.5625
-20.900000000010323,140.71249999969757,-1462.2032
-20.900000000010323,140.71666666636423,-440.19272
-20.900000000010323,140.7208333330309,785.97406
-20.900000000010323,140.72499999969756,1957.4504
-20.900000000010323,140.72916666636425,2809.844
-20.900000000010323,140.7333333330309,2965.056
-20.900000000010323,140.73749999969758,2572.1824
-20.900000000010323,140.74166666636427,1819.0067
-20.900000000010323,140.74583333303093,890.5293
-20.900000000010323,140.7499999996976,-44.14155
-20.900000000010323,140.75416666636426,-173.96025
-20.900000000010323,140.75833333303092,-196.6512
-20.900000000010323,140.7624999996976,-145.61467
-20.900000000010323,140.76666666636427,-27.76917
-20.900000000010323,140.77083333303094,218.98126
-20.900000000010323,140.77499999969763,636.3675
-20.900000000010323,140.7791666663643,1147.0576
-20.900000000010323,140.78333333303095,1647.6011
-20.900000000010323,140.78749999969762,2015.5929
-20.900000000010323,140.79166666636428,2028.4414
-20.900000000010323,140.79583333303097,1902.3676
-20.900000000010323,140.79999999969763,1760.619
-20.900000000010323,140.8041666663643,1741.1279
-20.900000000010323,140.808333333031,2003.6986
-20.904166666676993,140.53333333303075,-2299.4482
-20.904166666676993,140.53749999969742,-2558.2234
-20.904166666676993,140.5416666663641,-2222.328
-20.904166666676993,140.54583333303077,-1576.0366
-20.904166666676993,140.54999999969743,-760.67395
-20.904166666676993,140.5541666663641,2.0452805
-20.904166666676993,140.55833333303076,415.30893
-20.904166666676993,140.56249999969745,-646.1517
-20.904166666676993,140.5666666663641,-2170.4165
-20.904166666676993,140.57083333303078,-3884.938
-20.904166666676993,140.57499999969747,-5891.2925
-20.904166666676993,140.57916666636413,-4763.3535
-20.904166666676993,140.5833333330308,-3977.9788
-20.904166666676993,140.58749999969746,-3285.5127
-20.904166666676993,140.59166666636412,-2714.328
-20.904166666676993,140.5958333330308,-2179.0386
-20.904166666676993,140.59999999969747,-1806.4597
-20.904166666676993,140.60416666636414,-1474.5941
-20.904166666676993,140.60833333303083,-1200.5527
-20.904166666676993,140.6124999996975,-984.03284
-20.904166666676993,140.61666666636415,-852.0428
-20.904166666676993,140.62083333303082,-834.7701
-20.904166666676993,140.62499999969748,-876.8667
-20.904166666676993,140.62916666636417,-945.46533
-20.904166666676993,140.63333333303083,-1041.9382
-20.904166666676993,140.6374999996975,-1072.4543
-20.904166666676993,140.6416666663642,-1175.5989
-20.904166666676993,140.64583333303085,-1373.3102
-20.904166666676993,140.6499999996975,-1630.3907
-20.904166666676993,140.65416666636418,-1826.0696
-20.904166666676993,140.65833333303084,-1305.3029
-20.904166666676993,140.66249999969753,-674.2231
-20.904166666676993,140.6666666663642,-70.422485
-20.904166666676993,140.67083333303086,377.61533
-20.904166666676993,140.67499999969755,-88.24162
-20.904166666676993,140.6791666663642,-660.5516
-20.904166666676993,140.68333333303087,-1222.5638
-20.904166666676993,140.68749999969754,-1696.6749
-20.904166666676993,140.6916666663642,-2071.7683
-20.904166666676993,140.6958333330309,-2151.3516
-20.904166666676993,140.69999999969755,-2163.2844
-20.904166666676993,140.70416666636422,-2125.7305
-20.904166666676993,140.7083333330309,-1980.2587
-20.904166666676993,140.71249999969757,-1570.4192
-20.904166666676993,140.71666666636423,-377.15222
-20.904166666676993,140.7208333330309,1045.1129
-20.904166666676993,140.72499999969756,2418.3875
-20.904166666676993,140.72916666636425,3467.8257
-20.904166666676993,140.7333333330309,3346.9321
-20.904166666676993,140.73749999969758,2735.3865
-20.904166666676993,140.74166666636427,1700.2272
-20.904166666676993,140.74583333303093,381.51263
-20.904166666676993,140.7499999996976,-1415.5197
-20.904166666676993,140.75416666636426,-713.4929
-20.904166666676993,140.75833333303092,-398.74692
-20.904166666676993,140.7624999996976,-166.04552
-20.904166666676993,140.76666666636427,29.443235
-20.904166666676993,140.77083333303094,353.547
-20.904166666676993,140.77499999969763,924.02026
-20.904166666676993,140.7791666663643,1645.5126
-20.904166666676993,140.78333333303095,2399.0007
-20.904166666676993,140.78749999969762,3057.0596
-20.904166666676993,140.79166666636428,2984.1628
-20.904166666676993,140.79583333303097,2802.4304
-20.904166666676993,140.79999999969763,2616.9126
-20.904166666676993,140.8041666663643,2539.6702
-20.904166666676993,140.808333333031,2649.0876
-20.908333333343663,140.53333333303075,-2163.685
-20.908333333343663,140.53749999969742,-2614.664
-20.908333333343663,140.5416666663641,-2131.122
-20.908333333343663,140.54583333303077,-1487.7981
-20.908333333343663,140.54999999969743,-607.4747
-20.908333333343663,140.5541666663641,383.41315
-20.908333333343663,140.55833333303076,1667.9138
-20.908333333343663,140.56249999969745,-264.368
-20.908333333343663,140.5666666663641,-1935.609
-20.908333333343663,140.57083333303078,-3465.0837
-20.908333333343663,140.57499999969747,-4601.3
-20.908333333343663,140.57916666636413,-4368.317
-20.908333333343663,140.5833333330308,-3857.536
-20.908333333343663,140.58749999969746,-3271.0244
-20.908333333343663,140.59166666636412,-2693.4385
-20.908333333343663,140.5958333330308,-2085.9517
-20.908333333343663,140.59999999969747,-1821.8221
-20.908333333343663,140.60416666636414,-1537.4817
-20.908333333343663,140.60833333303083,-1277.9497
-20.908333333343663,140.6124999996975,-1058.42
-20.908333333343663,140.61666666636415,-887.7661
-20.908333333343663,140.62083333303082,-879.42334
-20.908333333343663,140.62499999969748,-895.9753
-20.908333333343663,140.62916666636417,-924.6044
-20.908333333343663,140.63333333303083,-946.791
-20.908333333343663,140.6374999996975,-950.3928
