Lon,Lat,Mag,Grav_1vd
140.5748529,-20.88319695,415.0987549,-2156.845947
140.5756862,-20.88319695,432.25,-2156.845947
140.5765195,-20.88319695,554.3240356,-2156.845947
140.5773528,-20.88319695,742.1172485,-2270.81543
140.5781861,-20.88319695,834.642334,-2270.81543
140.5790194,-20.88319695,754.2288208,-2270.81543
140.5798527,-20.88319695,605.1940918,-2270.81543
140.580686,-20.88319695,498.6203308,-2270.81543
140.5815193,-20.88319695,435.2672424,-2224.718994
140.5823526,-20.88319695,393.5610657,-2224.718994
140.5831859,-20.88319695,379.4159241,-2224.718994
140.5840192,-20.88319695,409.087677,-2224.718994
140.5848525,-20.88319695,454.6799622,-2224.718994
140.5856858,-20.88319695,490.4199219,-1987.691284
140.5865191,-20.88319695,533.423645,-1987.691284
140.5873524,-20.88319695,606.1843262,-1987.691284
140.5881857,-20.88319695,769.7560425,-1987.691284
140.589019,-20.88319695,1102.83374,-1987.691284
140.5898523,-20.88319695,1571.374268,-1637.674194
140.5906856,-20.88319695,1865.879883,-1637.674194
140.5915189,-20.88319695,1716.048706,-1637.674194
140.5923522,-20.88319695,1362.721924,-1637.674194
140.5931855,-20.88319695,992.1815186,-1637.674194
140.5940188,-20.88319695,730.0275879,-1272.162598
140.5948521,-20.88319695,857.8791504,-1272.162598
140.5956854,-20.88319695,1510.039185,-1272.162598
140.5965187,-20.88319695,2125.692871,-1272.162598
140.597352,-20.88319695,2259.433594,-1272.162598
140.5981853,-20.88319695,1955.644287,-950.1714478
140.5990186,-20.88319695,1375.526489,-950.1714478
140.5998519,-20.88319695,830.4570923,-950.1714478
140.6006852,-20.88319695,589.4140015,-950.1714478
140.6015185,-20.88319695,540.6520386,-950.1714478
140.6023518,-20.88319695,533.9887085,-708.6248169
140.6031851,-20.88319695,525.4771729,-708.6248169
140.6040184,-20.88319695,511.9758911,-708.6248169
140.6048517,-20.88319695,495.2482605,-708.6248169
140.605685,-20.88319695,478.1575317,-708.6248169
140.6065183,-20.88319695,463.0550842,-541.0403442
140.6073516,-20.88319695,453.2036133,-541.0403442
140.6081849,-20.88319695,447.8112488,-541.0403442
140.6090182,-20.88319695,449.6157837,-541.0403442
140.6098515,-20.88319695,456.9874878,-541.0403442
140.6106848,-20.88319695,479.5932617,-444.077301
140.6115181,-20.88319695,626.742981,-444.077301
140.6123514,-20.88319695,1005.712158,-444.077301
140.6131847,-20.88319695,1252.367798,-444.077301
140.614018,-20.88319695,1144.000244,-444.077301
140.6148513,-20.88319695,880.6984863,-425.8327026
140.6156846,-20.88319695,665.4841919,-425.8327026
140.6165179,-20.88319695,538.6685181,-425.8327026
140.6173512,-20.88319695,492.6702576,-425.8327026
140.6181845,-20.88319695,526.5178223,-425.8327026
140.6190178,-20.88319695,591.5723877,-522.930603
140.6198511,-20.88319695,615.0571899,-522.930603
140.6206844,-20.88319695,571.3789062,-522.930603
140.6215177,-20.88319695,494.5037842,-522.930603
140.622351,-20.88319695,427.1432495,-522.930603
140.6231843,-20.88319695,381.2978821,-664.3690186
140.6240176,-20.88319695,351.3610535,-664.3690186
140.6248509,-20.88319695,330.0694885,-664.3690186
140.6256842,-20.88319695,312.9441223,-664.3690186
140.6265175,-20.88319695,299.3598328,-664.3690186
140.6273508,-20.88319695,288.4396973,-801.574646
140.6281841,-20.88319695,278.8248901,-801.574646
140.6290174,-20.88319695,268.9448853,-801.574646
140.6298507,-20.88319695,259.2268372,-801.574646
140.630684,-20.88319695,250.896286,-801.574646
140.6315173,-20.88319695,244.6463165,-893.296814
140.6323506,-20.88319695,240.3486938,-893.296814
140.6331839,-20.88319695,235.4339905,-893.296814
140.6340172,-20.88319695,229.555191,-893.296814
140.6348505,-20.88319695,223.5929108,-893.296814
140.6356838,-20.88319695,217.7706299,-915.8391113
140.6365171,-20.88319695,212.2009277,-915.8391113
140.6373504,-20.88319695,207.635437,-915.8391113
140.6381837,-20.88319695,203.797699,-915.8391113
140.639017,-20.88319695,198.1450348,-915.8391113
140.6398503,-20.88319695,191.4308319,-914.9155884
140.6406836,-20.88319695,186.4808807,-914.9155884
140.6415169,-20.88319695,181.8095856,-914.9155884
140.6423502,-20.88319695,176.3117676,-914.9155884
140.6431835,-20.88319695,171.4593811,-914.9155884
140.6440168,-20.88319695,167.671402,-907.7094727
140.6448501,-20.88319695,164.0813904,-907.7094727
140.6456834,-20.88319695,159.2635193,-907.7094727
140.6465167,-20.88319695,153.8207855,-907.7094727
140.64735,-20.88319695,148.8313141,-907.7094727
140.6481833,-20.88319695,144.2791748,-913.2785645
140.6490166,-20.88319695,139.8135681,-913.2785645
140.6498499,-20.88319695,133.5821381,-913.2785645
140.6506832,-20.88319695,119.2225418,-913.2785645
140.6515165,-20.88319695,109.0588226,-913.2785645
140.6523498,-20.88319695,114.6909714,-945.0365601
140.6531831,-20.88319695,127.3194809,-945.0365601
140.6540164,-20.88319695,137.8723755,-945.0365601
140.6548497,-20.88319695,141.8530884,-945.0365601
140.655683,-20.88319695,143.8996582,-945.0365601
140.6565163,-20.88319695,171.6364594,-934.6391602
140.6573496,-20.88319695,261.5617065,-934.6391602
140.6581829,-20.88319695,374.486969,-934.6391602
140.6590162,-20.88319695,443.2676392,-934.6391602
140.6598495,-20.88319695,448.2689209,-934.6391602
140.6606828,-20.88319695,384.2170715,-959.3308105
140.6615161,-20.88319695,301.6729736,-959.3308105
140.6623494,-20.88319695,233.9639282,-959.3308105
140.6631827,-20.88319695,191.8491211,-959.3308105
140.664016,-20.88319695,171.7904663,-959.3308105
140.6648493,-20.88319695,170.7491302,-1000.607056
140.6656826,-20.88319695,189.7402039,-1000.607056
140.6665159,-20.88319695,219.5856323,-1000.607056
140.6673492,-20.88319695,237.6984863,-1000.607056
140.6681825,-20.88319695,241.1016235,-1000.607056
140.6690158,-20.88319695,241.4931946,-1021.380859
140.6698491,-20.88319695,225.4957275,-1021.380859
140.6706824,-20.88319695,199.5865936,-1021.380859
140.6715157,-20.88319695,175.0572815,-1021.380859
140.672349,-20.88319695,166.0839081,-1021.380859
140.6731823,-20.88319695,171.5113068,-921.137085
140.6740156,-20.88319695,160.6578674,-921.137085
140.6748489,-20.88319695,130.7816467,-921.137085
140.6756822,-20.88319695,129.3374023,-921.137085
140.6765155,-20.88319695,173.3052826,-921.137085
140.6773488,-20.88319695,210.9960175,-840.4651489
140.6781821,-20.88319695,196.2865906,-840.4651489
140.6790154,-20.88319695,167.69487,-840.4651489
140.6798487,-20.88319695,130.6011353,-840.4651489
140.680682,-20.88319695,111.4340897,-840.4651489
140.6815153,-20.88319695,111.4059372,-832.5349121
140.6823486,-20.88319695,102.6988297,-832.5349121
140.6831819,-20.88319695,79.8593597,-832.5349121
140.6840152,-20.88319695,63.9027023,-832.5349121
140.6848485,-20.88319695,67.1991043,-832.5349121
140.6856818,-20.88319695,62.5378227,-891.3534546
140.6865151,-20.88319695,48.749649,-891.3534546
140.6873484,-20.88319695,85.5998459,-891.3534546
140.6881817,-20.88319695,164.7517548,-891.3534546
140.689015,-20.88319695,204.6667328,-891.3534546
140.6898483,-20.88319695,154.9829254,-969.65625
140.6906816,-20.88319695,78.5317001,-969.65625
140.6915149,-20.88319695,61.9732933,-969.65625
140.6923482,-20.88319695,67.4363098,-969.65625
140.6931815,-20.88319695,36.0653954,-969.65625
140.6940148,-20.88319695,-3.793139,-824.8190918
140.6948481,-20.88319695,0.25167,-824.8190918
140.6956814,-20.88319695,29.0855885,-824.8190918
140.6965147,-20.88319695,21.3506336,-824.8190918
140.697348,-20.88319695,33.4532852,-824.8190918
140.6981813,-20.88319695,77.8762054,-627.6712036
140.6990146,-20.88319695,104.3909683,-627.6712036
140.6998479,-20.88319695,80.6811905,-627.6712036
140.7006812,-20.88319695,33.9261932,-627.6712036
140.7015145,-20.88319695,16.2692986,-627.6712036
140.7023478,-20.88319695,56.8686829,-378.9205627
140.7031811,-20.88319695,87.8482819,-378.9205627
140.7040144,-20.88319695,60.654438,-378.9205627
140.7048477,-20.88319695,43.8050995,-378.9205627
140.705681,-20.88319695,21.0645924,-378.9205627
140.7065143,-20.88319695,-0.3133801,-86.0402908
140.7073476,-20.88319695,-14.5553684,-86.0402908
140.7081809,-20.88319695,-19.7761269,-86.0402908
140.7090142,-20.88319695,-9.6261168,-86.0402908
140.7098475,-20.88319695,4.360023,-86.0402908
140.7106808,-20.88319695,13.0677719,249.4401855
140.7115141,-20.88319695,30.2073307,249.4401855
140.7123474,-20.88319695,65.5064697,249.4401855
140.7131807,-20.88319695,102.7475662,249.4401855
140.714014,-20.88319695,124.0813522,249.4401855
140.7148473,-20.88319695,120.9831314,678.7012329
140.7156806,-20.88319695,92.4222717,678.7012329
